Log started

PASS | School: 1 | User: 1 | test005.sjava
PASS | School: 1 | User: 1 | test006.sjava
PASS | School: 1 | User: 1 | test007.sjava
PASS | School: 1 | User: 1 | test008.sjava
PASS | School: 0 | User: 0 | test009.sjava
PASS | School: 0 | User: 0 | test011.sjava
FAIL | School: 0 | User: 1 | test012.sjava
FAIL | School: 0 | User: 1 | test013.sjava
PASS | School: 0 | User: 0 | test014.sjava
FAIL | School: 0 | User: 1 | test015.sjava
PASS | School: 1 | User: 1 | test016.sjava
PASS | School: 1 | User: 1 | test017.sjava
PASS | School: 1 | User: 1 | test018.sjava
FAIL | School: 0 | User: 1 | test019.sjava
PASS | School: 0 | User: 0 | test021.sjava
FAIL | School: 0 | User: 1 | test022.sjava
PASS | School: 1 | User: 1 | test023.sjava
PASS | School: 1 | User: 1 | test024.sjava
PASS | School: 1 | User: 1 | test025.sjava
PASS | School: 1 | User: 1 | test026.sjava
FAIL | School: 0 | User: 1 | test027.sjava
FAIL | School: 0 | User: 1 | test028.sjava
PASS | School: 1 | User: 1 | test029.sjava
FAIL | School: 0 | User: 1 | test030.sjava
PASS | School: 0 | User: 0 | test031.sjava
FAIL | School: 0 | User: 1 | test032.sjava
FAIL | School: 0 | User: 1 | test033.sjava
FAIL | School: 0 | User: 1 | test034.sjava
PASS | School: 0 | User: 0 | test035.sjava
PASS | School: 1 | User: 1 | test036.sjava
PASS | School: 1 | User: 1 | test037.sjava
PASS | School: 1 | User: 1 | test038.sjava
FAIL | School: 0 | User: 1 | test039.sjava
PASS | School: 0 | User: 0 | test041.sjava
FAIL | School: 0 | User: 1 | test042.sjava
FAIL | School: 0 | User: 1 | test043.sjava
PASS | School: 1 | User: 1 | test044.sjava
PASS | School: 1 | User: 1 | test045.sjava
PASS | School: 1 | User: 1 | test046.sjava
PASS | School: 1 | User: 1 | test047.sjava
PASS | School: 1 | User: 1 | test048.sjava
PASS | School: 1 | User: 1 | test049.sjava
FAIL | School: 0 | User: 1 | test050.sjava
FAIL | School: 0 | User: 1 | test051.sjava
PASS | School: 1 | User: 1 | test052.sjava
PASS | School: 1 | User: 1 | test053.sjava
PASS | School: 1 | User: 1 | test054.sjava
